ASSIST,FF,FR,Fg,Fga,Fumbles,INT,Name,PA,Pass Att,Pass Cmp,Pass Ints,Pass Tds,Pass Yds,Points,Position,Rec Tds,Rec Yds,Recs,Rush Att,Rush Tds,Rush Yds,SACK,SAFETY,TD,Team,Xpt,YDS AGN,Flex
,,,,,4.0,,Aaron Rodgers,,604.1,392.8,8.1,35.6,4428.8,343.6,QB,,,,60.1,2.5,332.3,,,,GB,,,False
,,,,,2.9,,Tom Brady,,597.1,390.6,8.0,35.4,4691.5,321.7,QB,,,,35.1,1.4,62.3,,,,NE,,,False
,,,,,3.4,,Drew Brees,,646.3,439.6,14.7,33.6,4925.1,305.8,QB,,,,22.8,1.2,33.0,,,,NO,,,False
,,,,,2.9,,Russell Wilson,,533.0,343.2,11.4,26.8,4090.9,293.3,QB,,,,82.5,2.1,386.5,,,,SEA,,,False
,,,,,3.0,,Matt Ryan,,560.5,377.5,10.9,32.6,4655.0,303.0,QB,,,,34.3,0.7,100.3,,,,ATL,,,False
,,,,,3.8,,Marcus Mariota,,517.6,320.9,12.1,26.5,3823.4,271.8,QB,,,,58.7,2.1,323.8,,,,TEN,,,False
,,,,,4.2,,Kirk Cousins,,593.2,386.1,13.2,25.1,4524.6,269.7,QB,,,,32.8,2.4,87.1,,,,WAS,,,False
,,,,,3.5,,Jameis Winston,,573.3,356.1,16.3,28.3,4293.7,279.4,QB,,,,51.3,2.6,186.0,,,,TB,,,False
,,,,,4.1,,Cam Newton,,528.8,306.2,13.5,24.4,3775.5,282.8,QB,,,,84.6,4.9,403.5,,,,CAR,,,False
,,,,,2.6,,Ben Roethlisberger,,553.8,361.7,14.2,29.5,4262.1,262.6,QB,,,,22.1,0.6,39.6,,,,PIT,,,False
,,,,,3.4,,Derek Carr,,592.6,365.7,11.0,28.6,4121.9,262.4,QB,,,,35.4,0.5,86.5,,,,OAK,,,False
,,,,,3.5,,Dak Prescott,,492.5,318.1,9.1,24.7,3746.6,271.9,QB,,,,58.3,3.4,282.1,,,,DAL,,,False
,,,,,4.3,,Philip Rivers,,584.7,363.5,15.9,30.6,4336.6,260.5,QB,,,,16.7,0.2,39.0,,,,LAC,,,False
,,,,,2.9,,Matthew Stafford,,586.9,380.1,12.2,25.5,4185.9,265.8,QB,,,,37.4,1.8,157.9,,,,DET,,,False
,,,,,3.5,,Andrew Luck,,504.2,310.3,13.8,26.1,3674.3,255.4,QB,,,,55.6,1.9,273.0,,,,IND,,,False
,,,,,3.4,,Andy Dalton,,541.0,347.1,10.9,24.2,4010.5,260.3,QB,,,,48.3,2.5,161.7,,,,CIN,,,False
,,,,,4.2,,Eli Manning,,595.6,370.6,15.4,27.7,4192.8,243.5,QB,,,,18.9,0.2,29.6,,,,NYG,,,False
,,,,,3.7,,Carson Palmer,,584.6,360.6,15.2,25.6,4172.2,236.5,QB,,,,16.4,0.3,35.0,,,,ARI,,,False
,,,,,3.3,,Carson Wentz,,584.4,356.8,14.2,22.6,3914.6,239.7,QB,,,,47.0,1.9,165.3,,,,PHI,,,False
,,,,,3.1,,Tyrod Taylor,,431.7,266.2,8.5,19.0,3020.8,251.5,QB,,,,89.2,4.2,527.7,,,,BUF,,,False
,,,,,3.5,,Jay Cutler,,469.1,294.8,14.2,21.8,3395.0,206.9,QB,,,,32.2,1.0,128.3,,,,MIA,,,False
,,,,,3.5,,Sam Bradford,,547.2,361.6,10.2,22.1,3824.1,220.1,QB,,,,21.6,0.2,48.0,,,,MIN,,,False
,,,,,3.0,,Joe Flacco,,621.1,390.1,15.5,22.1,4081.2,229.7,QB,,,,23.4,1.7,51.6,,,,BAL,,,False
,,,,,3.6,,Alex Smith,,491.7,319.5,9.4,19.5,3449.0,225.6,QB,,,,54.0,2.3,214.8,,,,KC,,,False
,,,,,4.0,,Blake Bortles,,497.1,291.4,13.7,20.3,3246.5,214.5,QB,,,,48.8,1.8,277.2,,,,JAC,,,False
,,,,,3.8,,Brian Hoyer,,480.7,291.9,12.7,18.1,3286.3,179.0,QB,,,,28.7,0.4,60.0,,,,SF,,,False
,,,,,2.5,,DeShone Kizer,,436.2,258.0,12.9,14.3,2887.6,175.2,QB,,,,55.7,1.5,241.6,,,,CLE,,,False
,,,,,2.8,,Trevor Siemian,,485.7,291.3,12.5,18.1,3324.7,185.4,QB,,,,26.7,0.6,69.5,,,,DEN,,,False
,,,,,3.3,,Jared Goff,,524.8,304.3,15.7,17.8,3351.7,179.7,QB,,,,25.1,0.9,68.3,,,,LAR,,,False
,,,,,2.1,,Deshaun Watson,,317.7,186.7,9.5,11.3,2063.0,129.8,QB,,,,38.3,1.4,168.2,,,,HOU,,,False
,,,,,0.6,,Mitch Trubisky,,127.3,75.5,3.8,5.0,858.7,50.6,QB,,,,10.3,0.2,38.3,,,,CHI,,,False
,,,,,1.4,,Tom Savage,,237.0,138.6,6.2,8.4,1494.7,85.3,QB,,,,15.0,0.3,50.6,,,,HOU,,,False
,,,,,2.8,,Mike Glennon,,399.7,243.2,12.7,16.9,2804.2,161.1,QB,,,,26.6,0.6,89.6,,,,CHI,,,False
,,,,,0.0,,Jimmy Garoppolo,,16.9,10.4,0.1,0.7,122.9,7.8,QB,,,,0.9,0.0,1.9,,,,NE,,,False
,,,,,2.3,,Josh McCown,,392.5,228.4,12.2,13.0,2548.2,140.7,QB,,,,28.8,0.9,105.1,,,,NYJ,,,False
,,,,,0.2,,Chad Henne,,79.9,47.1,2.7,3.0,529.5,29.9,QB,,,,6.8,0.1,21.9,,,,JAC,,,False
,,,,,1.7,,Cody Kessler,,98.1,60.0,2.7,3.5,657.1,34.1,QB,,,,6.7,0.2,14.3,,,,CLE,,,False
,,,,,,,Robert Griffin,,,,,,,,QB,,,,,,,,,,FA,,,False
,,,,,0.1,,Patrick Mahomes,,39.7,24.0,1.1,1.4,264.7,15.8,QB,,,,3.8,0.1,14.7,,,,KC,,,False
,,,,,0.6,,Paxton Lynch,,83.5,49.1,2.3,2.8,566.2,30.6,QB,,,,7.8,0.0,21.2,,,,DEN,,,False
,,,,,3.1,,David Johnson,,,,,,,315.6,RB,3.9,741.9,75.5,281.5,11.5,1172.9,,,,ARI,,,True
,,,,,2.2,,Le'Veon Bell,,,,,,,301.8,RB,2.4,627.4,76.8,293.4,9.4,1343.1,,,,PIT,,,True
,,,,,1.1,,LeSean McCoy,,,,,,,247.2,RB,1.8,366.3,47.4,252.1,9.3,1225.5,,,,BUF,,,True
,,,,,3.7,,Melvin Gordon,,,,,,,225.6,RB,1.9,400.8,46.7,272.8,8.1,1094.9,,,,LAC,,,True
,,,,,1.8,,Devonta Freeman,,,,,,,236.6,RB,2.7,484.5,55.4,217.3,8.7,958.8,,,,ATL,,,True
,,,,,1.3,,Jay Ajayi,,,,,,,219.7,RB,1.3,254.7,36.1,266.1,8.5,1198.6,,,,MIA,,,True
,,,,,1.8,,DeMarco Murray,,,,,,,213.9,RB,2.1,319.6,44.3,246.6,7.4,1065.7,,,,TEN,,,True
,,,,,1.6,,Jordan Howard,,,,,,,224.4,RB,1.6,318.1,36.3,270.6,7.0,1256.6,,,,CHI,,,True
,,,,,1.4,,Todd Gurley,,,,,,,205.1,RB,1.0,304.4,39.5,273.6,8.0,1040.7,,,,LAR,,,True
,,,,,0.9,,Ezekiel Elliott,,,,,,,180.1,RB,1.0,248.6,26.3,197.5,7.1,954.2,,,,DAL,,,True
,,,,,1.6,,Isaiah Crowell,,,,,,,177.5,RB,0.6,293.5,36.8,214.7,6.0,930.4,,,,CLE,,,True
,,,,,1.7,,Kareem Hunt,,,,,,,179.5,RB,1.2,297.1,36.7,208.0,6.9,861.2,,,,KC,,,True
,,,,,1.8,,Leonard Fournette,,,,,,,186.4,RB,1.2,227.6,30.4,236.0,7.0,1027.9,,,,JAC,,,True
,,,,,1.6,,Dalvin Cook,,,,,,,177.1,RB,1.6,301.8,38.3,195.3,6.6,823.1,,,,MIN,,,True
,,,,,5.6,,Carlos Hyde,,,,,,,165.6,RB,1.3,193.0,28.4,229.5,6.3,976.0,,,,SF,,,True
,,,,,1.6,,Lamar Miller,,,,,,,194.3,RB,1.4,262.4,36.0,262.1,6.4,1063.4,,,,HOU,,,True
,,,,,1.2,,Marshawn Lynch,,,,,,,176.7,RB,1.1,240.1,32.1,200.1,8.1,839.0,,,,OAK,,,True
,,,,,1.6,,Christian McCaffrey,,,,,,,174.8,RB,2.3,429.6,49.6,155.1,4.6,689.0,,,,CAR,,,True
,,,,,1.5,,Ty Montgomery,,,,,,,171.6,RB,1.6,352.8,43.8,162.7,5.2,765.9,,,,GB,,,True
,,,,,1.5,,Joe Mixon,,,,,,,164.2,RB,1.0,277.4,35.0,187.5,6.3,781.3,,,,CIN,,,True
,,,,,2.5,,Mark Ingram,,,,,,,170.9,RB,2.2,318.0,42.2,168.0,5.4,771.5,,,,NO,,,True
,,,,,1.2,,Bilal Powell,,,,,,,170.3,RB,1.8,376.6,51.9,159.8,4.3,725.6,,,,NYJ,,,True
,,,,,1.8,,C.J. Anderson,,,,,,,148.4,RB,1.0,227.8,29.3,183.9,5.1,781.2,,,,DEN,,,True
,,,,,1.9,,Ameer Abdullah,,,,,,,153.8,RB,2.0,288.8,34.1,172.8,4.5,726.4,,,,DET,,,True
,,,,,1.3,,Tevin Coleman,,,,,,,153.6,RB,2.6,364.4,35.6,128.3,5.1,561.3,,,,ATL,,,True
,,,,,1.0,,Danny Woodhead,,,,,,,141.1,RB,2.9,472.2,58.4,84.0,2.3,355.1,,,,BAL,,,True
,,,,,2.0,,Frank Gore,,,,,,,149.7,RB,1.6,232.2,29.8,199.8,4.8,771.2,,,,IND,,,True
,,,,,3.4,,Doug Martin,,,,,,,125.4,RB,0.8,166.5,20.9,178.9,4.9,710.2,,,,TB,,,True
,,,,,1.4,,Mike Gillislee,,,,,,,125.9,RB,0.4,101.8,13.4,147.3,6.7,693.4,,,,NE,,,True
,,,,,1.0,,Terrance West,,,,,,,143.9,RB,1.1,224.7,31.7,180.6,4.8,725.3,,,,BAL,,,True
,,,,,4.9,,Adrian Peterson,,,,,,,118.0,RB,0.6,151.6,22.7,151.0,5.8,629.8,,,,NO,,,True
,,,,,1.5,,Paul Perkins,,,,,,,137.8,RB,1.0,218.8,25.4,192.3,3.7,784.0,,,,NYG,,,True
,,,,,1.5,,Robert Kelley,,,,,,,132.4,RB,0.6,124.6,16.3,185.8,5.7,768.6,,,,WAS,,,True
,,,,,0.9,,Theo Riddick,,,,,,,139.0,RB,3.2,482.4,60.6,80.0,2.0,311.0,,,,DET,,,True
,,,,,1.4,,Duke Johnson,,,,,,,131.7,RB,1.7,491.8,56.9,83.9,1.9,353.7,,,,CLE,,,True
,,,,,1.2,,Derrick Henry,,,,,,,111.0,RB,0.8,144.8,15.9,140.5,4.3,605.8,,,,TEN,,,True
,,,,,3.4,,Jonathan Stewart,,,,,,,115.4,RB,0.5,90.0,11.8,174.3,5.4,715.0,,,,CAR,,,True
,,,,,1.4,,James White,,,,,,,116.8,RB,3.1,406.5,48.3,58.9,2.0,246.1,,,,NE,,,True
,,,,,1.9,,LeGarrette Blount,,,,,,,101.8,RB,0.2,53.7,8.3,154.6,5.4,625.6,,,,PHI,,,True
,,,,,1.2,,Darren Sproles,,,,,,,121.3,RB,1.8,373.5,48.2,84.9,2.3,376.6,,,,PHI,,,True
,,,,,1.7,,Matt Forte,,,,,,,117.5,RB,1.2,221.7,27.4,141.8,3.4,578.8,,,,NYJ,,,True
,,,,,1.1,,Eddie Lacy,,,,,,,127.4,RB,0.9,154.4,19.3,163.5,4.7,711.0,,,,SEA,,,True
,,,,,0.9,,Thomas Rawls,,,,,,,89.9,RB,0.3,103.3,13.5,119.4,4.0,489.1,,,,SEA,,,True
,,,,,2.9,,Darren McFadden,,,,,,,100.1,RB,0.3,160.0,20.3,123.0,4.1,531.6,,,,DAL,,,True
,,,,,1.6,,Rex Burkhead,,,,,,,84.1,RB,0.9,149.6,18.2,92.3,3.0,393.6,,,,NE,,,True
,,,,,1.0,,C.J. Prosise,,,,,,,95.8,RB,1.3,352.4,36.9,54.5,1.9,250.5,,,,SEA,,,True
,,,,,1.3,,Jacquizz Rodgers,,,,,,,78.0,RB,0.2,114.6,16.0,107.3,2.4,456.1,,,,TB,,,True
,,,,,1.3,,Jeremy Hill,,,,,,,79.2,RB,0.2,83.4,11.2,112.8,3.8,440.6,,,,CIN,,,True
,,,,,1.7,,Samaje Perine,,,,,,,78.2,RB,0.2,106.4,13.4,105.1,3.4,424.3,,,,WAS,,,True
,,,,,3.5,,Shane Vereen,,,,,,,92.5,RB,1.6,317.3,40.1,66.7,1.5,288.1,,,,NYG,,,True
,,,,,4.7,,Jamaal Charles,,,,,,,90.8,RB,1.0,201.8,25.4,99.0,2.9,439.9,,,,DEN,,,True
,,,,,1.5,,Chris Thompson,,,,,,,107.7,RB,2.0,362.5,47.7,59.2,1.8,278.4,,,,WAS,,,True
,,,,,1.6,,Jamaal Williams,,,,,,,84.5,RB,0.3,96.9,12.9,111.4,3.7,473.2,,,,GB,,,True
,,,,,1.9,,Giovani Bernard,,,,,,,106.4,RB,1.4,301.0,35.2,98.8,2.3,404.4,,,,CIN,,,True
,,,,,1.5,,Alvin Kamara,,,,,,,74.2,RB,1.0,239.0,29.7,51.1,1.9,216.7,,,,NO,,,True
,,,,,2.4,,Latavius Murray,,,,,,,78.9,RB,0.2,112.4,16.2,107.3,3.4,425.4,,,,MIN,,,True
,,,,,2.1,,DeAndre Washington,,,,,,,80.6,RB,0.5,137.3,18.9,94.6,2.4,439.0,,,,OAK,,,True
,,,,,1.3,,Marlon Mack,,,,,,,65.8,RB,0.6,150.1,19.3,69.9,2.0,280.5,,,,IND,,,True
,,,,,1.3,,D'Onta Foreman,,,,,,,61.8,RB,0.2,102.7,14.3,80.5,2.3,320.1,,,,HOU,,,True
,,,,,2.4,,Wendell Smallwood,,,,,,,67.2,RB,0.5,107.9,14.7,90.7,2.3,372.2,,,,PHI,,,True
,,,,,2.6,,Charles Sims,,,,,,,88.3,RB,1.7,291.1,33.1,74.9,1.4,291.9,,,,TB,,,True
,,,,,1.8,,Charcandrick West,,,,,,,69.7,RB,0.7,129.0,16.4,87.1,2.4,339.5,,,,KC,,,True
,,,,,0.0,,Jonathan Williams,,,,,,,16.9,RB,0.0,35.0,5.0,20.0,0.5,79.0,,,,DEN,,,True
,,,,,0.0,,Kyle Juszczyk,,,,,,,52.2,RB,1.5,224.7,28.6,11.3,0.3,45.1,,,,SF,,,True
,,,,,1.9,,Matt Breida,,,,,,,74.1,RB,0.7,143.9,19.0,87.1,2.4,357.5,,,,SF,,,True
,,,,,1.2,,Jalen Richard,,,,,,,74.4,RB,1.0,180.6,24.3,63.9,1.6,309.0,,,,OAK,,,True
,,,,,0.9,,James Conner,,,,,,,46.8,RB,0.2,75.1,9.8,56.4,2.1,229.0,,,,PIT,,,True
,,,,,1.1,,Chris Carson,,,,,,,39.0,RB,0.3,88.8,10.9,41.1,1.3,170.8,,,,SEA,,,True
,,,,,1.1,,Mike Tolbert,,,,,,,56.0,RB,0.7,85.7,11.8,64.8,2.3,259.2,,,,BUF,,,True
,,,,,0.1,,De'Angelo Henderson,,,,,,,22.3,RB,0.0,48.4,5.0,30.1,0.5,117.0,,,,DEN,,,True
,,,,,3.4,,Devontae Booker,,,,,,,47.8,RB,0.5,116.1,14.6,64.7,1.2,250.7,,,,DEN,,,True
,,,,,3.7,,Dion Lewis,,,,,,,82.4,RB,1.2,195.7,25.5,82.4,2.3,362.4,,,,NE,,,True
,,,,,1.5,,T.J. Yeldon,,,,,,,73.2,RB,0.9,225.7,32.1,64.8,1.3,246.6,,,,JAC,,,True
,,,,,1.1,,Robert Turbin,,,,,,,78.9,RB,1.2,169.9,23.4,74.1,2.8,286.7,,,,IND,,,True
,,,,,1.9,,Tarik Cohen,,,,,,,63.8,RB,0.6,142.9,17.7,69.2,1.9,300.6,,,,CHI,,,True
,,,,,1.3,,Jerick McKinnon,,,,,,,56.9,RB,0.9,170.2,24.5,50.9,0.8,202.8,,,,MIN,,,True
,,,,,1.9,,Branden Oliver,,,,,,,51.2,RB,0.4,113.4,13.8,65.7,1.5,251.4,,,,LAC,,,True
,,,,,0.3,,Zach Zenner,,,,,,,42.8,RB,0.1,102.8,12.1,43.9,1.7,165.9,,,,DET,,,True
,,,,,1.5,,Orleans Darkwa,,,,,,,37.5,RB,0.2,59.5,8.5,52.0,1.5,200.0,,,,NYG,,,True
,,,,,1.5,,Kerwynn Williams,,,,,,,45.0,RB,0.2,69.4,9.2,52.9,1.7,251.4,,,,ARI,,,True
,,,,,4.8,,Chris Ivory,,,,,,,33.4,RB,0.1,75.6,9.8,54.4,1.5,214.4,,,,JAC,,,True
,,,,,0.0,,Tim Hightower,,,,,,,0.0,RB,0.0,64.5,7.6,29.2,0.6,125.8,,,,FA,,,True
,,,,,1.7,,Damien Williams,,,,,,,60.9,RB,1.5,160.1,18.4,54.9,1.6,207.9,,,,MIA,,,True
,,,,,1.5,,Javorius Allen,,,,,,,40.7,RB,0.3,89.7,12.7,54.1,1.0,209.1,,,,BAL,,,True
,,,,,1.3,,Alfred Morris,,,,,,,45.6,RB,0.2,43.3,7.0,68.1,1.8,282.1,,,,DAL,,,True
,,,,,1.3,,Kenyan Drake,,,,,,,31.3,RB,0.2,70.2,9.6,34.7,1.0,149.5,,,,MIA,,,True
,,,,,1.8,,Wayne Gallman,,,,,,,29.7,RB,0.1,64.9,8.4,42.0,1.0,162.8,,,,NYG,,,True
,,,,,,,Matt Jones,,,,,,,,RB,,,,,,,,,,FA,,,True
,,,,,1.7,,Alfred Blue,,,,,,,33.1,RB,0.2,64.6,9.8,46.7,0.9,185.1,,,,HOU,,,True
,,,,,,,Chris Johnson,,,,,,,,RB,,,,,,,,,,ARI,,,True
