Name,Position,Team,StdPts,LowerCI,UpperCI,Ovr,Pos Rank,Cmp,PassAtt,PassYd,PassTD,Ints,RushAtt,RushYd,RushTD,Rec,RecYd,RecTD
D. Brees,QB,NO,319.24,292.05,346.43,#1,#1,377.87,565.91,4544.56,34.21,11.44,35.2,131.7,2.44,0.12,0.76,0
A. Rodgers,QB,GB,311.71,279.78,343.64,#2,#2,358.45,566.53,4231.97,31.4,10.95,47.38,245.8,2.45,0,0,0
T. Brady,QB,NE,278.72,254.16,303.28,#3,#3,322.12,495.69,3825.3,33.43,8.34,39.08,82.71,0.54,0,0,0
M. Ryan,QB,ATL,269.65,246.79,292.51,#4,#4,283.11,432.27,3562.5,29.79,8.6,30.32,120.52,2.36,0,0,0
L. Bell,RB,PIT,268.54,234.31,302.77,#5,#1,0.02,0.06,0.43,0.03,0,281.9,1261.7,10.7,70.79,621.01,3.19
E. Elliott,RB,DAL,262.68,228.98,296.38,#6,#2,0.11,0.51,2.1,0.15,0,297.32,1429.03,11.84,44.4,390.68,1.99
B. Roethlisberger,QB,PIT,257.21,231.36,283.06,#7,#5,312.52,499.52,3697.76,26.71,9.97,44.4,160.15,1.62,0,0,0
J. Winston,QB,TB,256.67,230.26,283.08,#8,#6,334.81,544.4,4049.53,26.87,14.04,39.08,141.14,1.07,0.08,-0.96,0
R. Wilson,QB,SEA,249.71,218.59,280.83,#9,#7,332.11,558.17,3811.19,24.3,15.59,62.06,266.75,1.99,0.1,-0.1,0
C. Newton,QB,CAR,249.3,221.18,277.42,#10,#8,302.09,530.98,3474.78,20.85,12.97,77.44,398.89,2.86,0.4,2.87,0.12
M. Mariota,QB,TEN,248.75,217.2,280.3,#11,#9,271.1,451.05,3277.54,23.53,10.21,66.93,321.14,2.88,0.16,-0.68,0
D. Carr,QB,OAK,246.91,219.46,274.36,#12,#10,341.42,556.3,4014.27,26.96,12.85,28.51,41.52,0.58,0.06,-0.39,0
M. Stafford,QB,DET,246.71,220.92,272.5,#13,#11,342.4,558.68,3911.39,21.59,11.94,36.75,163.11,2.5,0.14,0.21,0
K. Cousins,QB,WSH,243.19,218.35,268.03,#14,#12,313.27,498.12,3718.95,26.33,11.07,30.54,102.79,0.98,0.1,0.81,0
T. Taylor,QB,BUF,242.99,219.49,266.49,#15,#13,212.41,364.97,2597.11,17.69,7.72,91.88,583.57,4.49,0.31,2.35,0
P. Rivers,QB,LAC,236.78,209.45,264.11,#16,#14,326.8,538.79,3753.34,24.21,12.26,34.28,116.85,1.21,0.06,0.58,0.04
D. Prescott,QB,DAL,234.24,209.15,259.33,#17,#15,250.25,404.76,3024.4,22.63,7.61,51.18,265.98,2.44,0,0,0
S. Bradford,QB,MIN,233.23,209.3,257.16,#18,#16,332.75,527.83,3825.18,24.94,11.99,27.87,70.4,0.47,0.06,0.06,0
A. Smith,QB,KC,230.95,206.52,255.38,#19,#17,280.61,453.9,3354.18,23.41,11.07,37.75,149.06,2.66,0.04,-0.46,0
C. Wentz,QB,PHI,229.67,204.32,255.02,#20,#18,309.36,539.56,3432.04,25.48,14.53,41.17,188.52,1.01,0.22,0.65,0
D. Kizer,QB,CLE,228.99,204.32,253.66,#21,#19,312.89,524.82,3437.45,19.03,12.34,82.64,352.02,1.9,0.24,-1.26,0
D. Watson,QB,HOU,224.64,196.92,252.36,#22,#20,290.05,472.28,3147.53,17.35,12.78,71.94,381.64,3.56,0.28,-1.42,0
J. Flacco,QB,BAL,218.22,195.13,241.31,#23,#21,324.58,550.08,3533.32,21.68,13.6,35.02,158.18,1.05,0.14,-0.56,0
L. McCoy,RB,BUF,218.16,186.18,250.14,#24,#3,0.06,0.08,1.22,0.07,0,238.86,1124.8,10.67,48.43,359.69,1.16
B. Bortles,QB,JAC,217.69,190.55,244.83,#25,#22,296.45,508.68,3289.13,20.68,13.22,49.58,249.6,1.46,0.16,3.24,0.16
A. Dalton,QB,CIN,215.84,189.87,241.81,#26,#23,304.15,500.7,3449.8,21.2,13.26,40.94,165.31,1.39,0.22,-0.48,0
M. Glennon,QB,CHI,215.47,194.19,236.75,#27,#24,294.95,455.55,3370.09,24.18,12.26,29.83,92.24,0.62,0.76,2.52,0
M. Gordon,RB,LAC,209.2,180.46,237.94,#28,#4,0.14,0.22,0.55,0.15,0,255.02,1097.7,7.11,58.15,504.57,1.59
D. Freeman,RB,ATL,205.7,177.43,233.97,#29,#5,0.06,0.06,1.47,0.08,0,209.38,989.88,9.28,46.44,391.28,1.99
K. Hunt,RB,KC,204.74,166.96,242.52,#30,#6,0,0.02,0,0,0,262.32,1112.87,5.54,53.15,443.16,3.14
M. Evans,WR,TB,202.88,173.28,232.48,#31,#1,0,0.12,0,0,0,0,0,0,84.95,1351.79,11
C. Palmer,QB,ARI,200.74,174.55,226.93,#32,#25,337.75,575.68,3660.79,20.18,16.06,27.33,80.59,0.76,0,0,0
J. Ajayi,RB,MIA,199.84,168.69,230.99,#33,#7,0.08,0.14,2.08,0.12,0,275.99,1209.39,10.09,32.85,193.93,0.35
J. Goff,QB,LA,199.64,172.3,226.98,#34,#26,309.27,552.53,3331.92,21.03,17.77,41.42,170.92,0.8,0.62,3.51,0.1
T. Montgomery,RB,GB,199.3,170.5,228.1,#35,#8,0.1,0.1,2.53,0.13,0,191.52,901.4,8.14,56.94,462.73,2.6
T. Siemian,QB,DEN,196.49,171.85,221.13,#36,#27,303.22,502.45,3388.54,17.62,13.38,36.17,129.51,1.76,0.3,0.03,0
A. Luck,QB,IND,196.23,174,218.46,#37,#28,259.88,433.32,3046.14,18.97,13.83,40.19,174.26,2.23,0.02,-0.24,0
C. Anderson,RB,DEN,194.67,163.85,225.49,#38,#9,0.1,0.14,0.86,0.12,0,256.03,1057.37,8.76,38.85,342.61,0.84
E. Manning,QB,NYG,189.47,167.48,211.46,#39,#29,320.98,536.05,3392.7,17.15,14.88,33.98,142.61,0.92,0.18,0.55,0
